figure_id,panel_id,series_id,scientific_classification,semantic_role,source_or_formula,grid_or_domain,uncertainty_owner,visual_primitive,disposition,validity_gate,evidence_anchor,evidence_quality,verdict
fig:rar_new_main,main,Newtonian_reference,exact_analytic_dense,reference_relation,g_obs = g_N,dense log acceleration domain 10^-13.5 to 10^-8.5 m s^-2,none,dotted line,RETAIN_CONTINUOUS_TRACE_WITH_ANALYTIC_OWNER,Reference identity only.,LaTex/FIGURE_REGISTRY.csv:fig:rar_new_main | LaTex/ECT_preprint.tex:23576 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py | LaTex/data/hrc_r97/R97_HRC_SOURCE_POINTS.csv;LaTex/data/hrc_r97/R97_HRC_SOURCE_SCALE_SUMMARY.json | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:Newtonian_reference,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:rar_new_main,main,SPARC_RAR_observations,observations_unconnected,external_observation,LaTex/data/hrc_r97/R97_HRC_SOURCE_POINTS.csv; 3343 physical entries,3343 tabulated SPARC acceleration pairs,source velocity/error inputs; no covariance model in this diagnostic,unconnected low-alpha scatter,RETAIN_AS_UNCONNECTED_OBSERVATIONS,External catalogue diagnostic; not an independent ECT prediction.,LaTex/FIGURE_REGISTRY.csv:fig:rar_new_main | LaTex/ECT_preprint.tex:23576 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py | LaTex/data/hrc_r97/R97_HRC_SOURCE_POINTS.csv;LaTex/data/hrc_r97/R97_HRC_SOURCE_SCALE_SUMMARY.json | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:SPARC_RAR_observations,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:udg_regime_diagram,main,HRC_0_inverse_points,sparse_nodes_unconnected,conditional_proxy_nodes,LaTex/data/hrc_r97/R97_HRC_UDG_DIAGNOSTIC.csv; rendered by build_r149_remaining_typography.py:363-390; aM_HRC0_over_match,independent named-object/endpoint rows,heterogeneous source intervals are not rendered as a common uncertainty,unconnected open circles,RETAIN_AS_UNCONNECTED_SOURCE_NODES,"Level-C spherical central Wolf proxy; heterogeneous literature inputs, not a common-confidence Jeans posterior or environment law.",LaTex/FIGURE_REGISTRY.csv:fig:udg_regime_diagram | LaTex/ECT_preprint.tex:23646 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py | LaTex/data/hrc_r97/R97_HRC_UDG_DIAGNOSTIC.csv | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:HRC_0_inverse_points,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:udg_regime_diagram,main,HRC_3_inverse_points,sparse_nodes_unconnected,conditional_proxy_nodes,LaTex/data/hrc_r97/R97_HRC_UDG_DIAGNOSTIC.csv; rendered by build_r149_remaining_typography.py:363-390; aM_HRC3_over_match,independent named-object/endpoint rows,heterogeneous source intervals are not rendered as a common uncertainty,unconnected squares,RETAIN_AS_UNCONNECTED_SOURCE_NODES,"Level-C spherical central Wolf proxy; heterogeneous literature inputs, not a common-confidence Jeans posterior or environment law.",LaTex/FIGURE_REGISTRY.csv:fig:udg_regime_diagram | LaTex/ECT_preprint.tex:23646 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py | LaTex/data/hrc_r97/R97_HRC_UDG_DIAGNOSTIC.csv | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:HRC_3_inverse_points,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:udg_regime_diagram,main,matched_scale_reference,diagram/no scientific polyline,reference_relation,a_M / a_M0 = 1,full displayed R_dyn domain,none,horizontal dotted line,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Reference scale only; not an environment fit.,LaTex/FIGURE_REGISTRY.csv:fig:udg_regime_diagram | LaTex/ECT_preprint.tex:23646 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py | LaTex/data/hrc_r97/R97_HRC_UDG_DIAGNOSTIC.csv | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:matched_scale_reference,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:udg_regime_diagram,main,no_positive_solution_points,sparse_nodes_unconnected,domain_failure_markers,LaTex/data/hrc_r97/R97_HRC_UDG_DIAGNOSTIC.csv; rendered by build_r149_remaining_typography.py:363-390; domain == NO_POSITIVE_HRC_ENHANCEMENT_SOLUTION,independent named-object central rows,none,unconnected x markers,RETAIN_AS_UNCONNECTED_SOURCE_NODES,"Level-C spherical central Wolf proxy; heterogeneous literature inputs, not a common-confidence Jeans posterior or environment law.",LaTex/FIGURE_REGISTRY.csv:fig:udg_regime_diagram | LaTex/ECT_preprint.tex:23646 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py | LaTex/data/hrc_r97/R97_HRC_UDG_DIAGNOSTIC.csv | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:no_positive_solution_points,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:partII_derivation_logic,whole_figure,derivation_dependency_map,diagram/no scientific polyline,status_or_dependency_schematic,"Graph/status topology; arrows are semantic dependencies, not sampled data.",not applicable,not applicable,boxes/regions/arrows/direct labels,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Status and dependency meanings are owned by literal labels and edge styles.,LaTex/FIGURE_REGISTRY.csv:fig:partII_derivation_logic | LaTex/ECT_preprint.tex:24263 | LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/build_curved_compact_reader_maps_r150.py;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/frozen_r149_reader_helpers.py | LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r148_complete_logic_v1/fig24_partII_render_r148.gv;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/data/figures_r148/topology/fig24_partII_topology_r148.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/semantic_keys/partII/partII_node_key.csv;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/semantic_keys/partII/partII_edge_key.csv;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/semantic_keys/partII/partII_full_key.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/semantic_keys/partII/partII_full_key_r149.pdf;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/maps_curved_compact/partII/partII_automated_qa.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/maps_curved_compact/manifest.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/maps_curved_compact/REPLAY_CHECK.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/maps_curved_compact/RUNTIME.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/R150_RELEASE_ALLOWLIST.json;LaTex/work/preprint/R150_LOGIC_MAP_EDGE_READABILITY_CANDIDATE_v1/final_review_candidate_v1/preprint/publication/figures/source/graphviz/r150_curved_compact_v1/semantic_keys/SHA256SUMS | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:derivation_dependency_map,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:qs_vacuum_unified,whole_figure,open_programme_map,diagram/no scientific polyline,status_or_dependency_schematic,Status-labelled conceptual links; no scientific point-to-point series.,not applicable,not applicable,boxes/regions/arrows/direct labels,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Status and dependency meanings are owned by literal labels and edge styles.,LaTex/FIGURE_REGISTRY.csv:fig:qs_vacuum_unified | LaTex/ECT_preprint.tex:30177 | LaTex/scripts/render_fig_ect_vs_qm.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/p1_panel_work/scripts/build_r123_p1_panel_relayout.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/scripts/build_r123_recolored_singletons.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/scripts/build_r123_remaining_monochrome.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v2/components/targeted_readability_assets/build_targeted_readability_assets.py;LaTex/figures/source/svg/fig_ect_vs_qm.svg;LaTex/scripts/fig3_condensate_scales.py;LaTex/scripts/fig_two_level_ontology.gv;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/scripts/r123_palette.py | LaTex/figures/source/svg/fig_ect_vs_qm.svg | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:open_programme_map,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:gamma_crossover,curve_panel,CHSH_toy_marker,diagram/no scientific polyline,toy_reference,Phi = ln(sqrt(2)),single vertical reference,none,vertical dashed line,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Toy-model marker; not a physical transition threshold.,LaTex/FIGURE_REGISTRY.csv:fig:gamma_crossover | LaTex/ECT_preprint.tex:31796 | LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/build_coherence_regimes_r153.py | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/coherence/build_coherence_regimes_r149.py | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:CHSH_toy_marker,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:gamma_crossover,curve_panel,Jacques_visibility_proxy,diagram/no scientific polyline,external_source_model_marker,"Phi = 0.062, V/V0 = exp(-Phi); LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/build_coherence_regimes_r153.py:276-294",single imported proxy point,source visibility approximation is not represented as a curve band,unconnected open diamond,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Imported visibility/source-model proxy; not an ECT prediction.,LaTex/FIGURE_REGISTRY.csv:fig:gamma_crossover | LaTex/ECT_preprint.tex:31796 | LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/build_coherence_regimes_r153.py | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/coherence/build_coherence_regimes_r149.py | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:Jacques_visibility_proxy,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:gamma_crossover,curve_panel,Procopio_visibility_proxy,diagram/no scientific polyline,external_source_model_marker,"Phi = 0.006, V/V0 = exp(-Phi); LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/build_coherence_regimes_r153.py:276-294",single imported proxy point,source visibility uncertainty is not represented as a curve band,unconnected open square,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Imported visibility/source-model proxy; not an ECT prediction.,LaTex/FIGURE_REGISTRY.csv:fig:gamma_crossover | LaTex/ECT_preprint.tex:31796 | LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/build_coherence_regimes_r153.py | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/coherence/build_coherence_regimes_r149.py | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:Procopio_visibility_proxy,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:gamma_crossover,curve_panel,order_unity_marker,diagram/no scientific polyline,model_reference,Phi = 1,single vertical reference,none,vertical dotted line,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Order-unity model marker; not a universal boundary.,LaTex/FIGURE_REGISTRY.csv:fig:gamma_crossover | LaTex/ECT_preprint.tex:31796 | LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/build_coherence_regimes_r153.py | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/coherence/build_coherence_regimes_r149.py | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:order_unity_marker,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:gamma_crossover,curve_panel,pure_dephasing_retention,exact_analytic_dense,conditional_exact_model_curve,V_ab / V_0 = exp(-Phi_ab); LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/build_coherence_regimes_r153.py:246-256,1000 log-spaced points over 10^-3 <= Phi_ab <= 30,none,solid line,RETAIN_CONTINUOUS_TRACE_WITH_ANALYTIC_OWNER,Exact only in the declared pure-dephasing closure for a named pair/channel.,LaTex/FIGURE_REGISTRY.csv:fig:gamma_crossover | LaTex/ECT_preprint.tex:31796 | LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/build_coherence_regimes_r153.py | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/coherence/build_coherence_regimes_r149.py | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:pure_dephasing_retention,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:gamma_crossover,regime_panel,asymptotic_regime_bands,diagram/no scientific polyline,reading_guide,"Phi << 1, Phi ~ 1, Phi >> 1 reading regions",displayed Phi domain; band edges are visual guides,none,labelled bordered regions,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Asymptotic reading guide only.,LaTex/FIGURE_REGISTRY.csv:fig:gamma_crossover | LaTex/ECT_preprint.tex:31796 | LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/build_coherence_regimes_r153.py | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/coherence/build_coherence_regimes_r149.py | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:asymptotic_regime_bands,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:two_level_ontology,whole_figure,status_guarded_reduction_map,diagram/no scientific polyline,status_or_dependency_schematic,Status-labelled reduction/open-branch topology; no numerical series.,not applicable,not applicable,boxes/regions/arrows/direct labels,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Status and dependency meanings are owned by literal labels and edge styles.,LaTex/FIGURE_REGISTRY.csv:fig:two_level_ontology | LaTex/ECT_preprint.tex:32102 | LaTex/scripts/render_fig_ect_vs_qm.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/p1_panel_work/scripts/build_r123_p1_panel_relayout.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/scripts/build_r123_recolored_singletons.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/scripts/build_r123_remaining_monochrome.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v2/components/targeted_readability_assets/build_targeted_readability_assets.py;LaTex/figures/source/svg/fig_ect_vs_qm.svg;LaTex/scripts/fig3_condensate_scales.py;LaTex/scripts/fig_two_level_ontology.gv;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/scripts/r123_palette.py | LaTex/figures/source/svg/fig_ect_vs_qm.svg | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:status_guarded_reduction_map,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:pes_diagram,whole_figure,pes_r_classification_map,diagram/no scientific polyline,status_or_dependency_schematic,Response/persistence decision topology; arrows are semantic relations.,not applicable,not applicable,boxes/regions/arrows/direct labels,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Status and dependency meanings are owned by literal labels and edge styles.,LaTex/FIGURE_REGISTRY.csv:fig:pes_diagram | LaTex/ECT_preprint.tex:32267 | LaTex/work/preprint/R127_VISUAL_COSMOLOGY_PES_COMPLETION_CANDIDATE_v1/build_r127_core_overflow_reflow.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/core_schematics/build_core_schematics.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/scripts/r123_palette.py | NOT APPLICABLE: no separate data object in this schematic owner | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:pes_r_classification_map,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:qubit_info_decoherence,fig_qubit_info_decoherence_smooth_r154,residual coherence $V=e^{-\Phi}$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py,1000 source points; 1000 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Model-internal toy; no collapse or unique-outcome claim,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:qubit_info_decoherence:residual coherence $V=e^{-\Phi}$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:qubit_info_decoherence,fig_qubit_info_decoherence_smooth_r154,total $I(S{:}E)$ in the pure-dilation toy,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py,1000 source points; 1000 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Model-internal toy; no collapse or unique-outcome claim,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:qubit_info_decoherence:total $I(S{:}E)$ in the pure-dilation toy,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:mediator_channels_terminal_47C,whole_figure,terminal_47c_status_summary,diagram/no scientific polyline,status_or_dependency_schematic,Categorical necessary-screen summary; boxes and borders encode status.,not applicable,not applicable,boxes/regions/arrows/direct labels,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Status and dependency meanings are owned by literal labels and edge styles.,LaTex/FIGURE_REGISTRY.csv:fig:mediator_channels_terminal_47C | LaTex/ECT_preprint.tex:34389 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/borderline_figure_typography/review_main_b/build_successors_b.py | LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/core_schematics/build_core_schematics.py | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:terminal_47c_status_summary,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:qs_bh_shell,whole_figure,hypothetical_shell_geometry,diagram/no scientific polyline,status_or_dependency_schematic,Level-C/Open geometry schematic; curves are region boundaries and leaders.,not applicable,not applicable,boxes/regions/arrows/direct labels,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Status and dependency meanings are owned by literal labels and edge styles.,LaTex/FIGURE_REGISTRY.csv:fig:qs_bh_shell | LaTex/ECT_preprint.tex:35241 | LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/build_bh_shell_r153.py;LaTex/work/preprint/R153_FINAL_VISUAL_ZENODO_CANDIDATE_v1/publication/LaTex/scripts/r153_figures/r134_palette.py | NONE IDENTIFIED: no independent R153 numerical/data input claimed | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:hypothetical_shell_geometry,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:bh_information,page_curve_benchmark,ECT_fine_grained_open_region,diagram/no scientific polyline,missing_owner_region,No ECT curve supplied; region under benchmark is status shading only,displayed normalised time/entropy region,"UNKNOWN: physical Hilbert split, state, channel, and Hamiltonian missing",bounded filled region,RETAIN; NOT A SCIENTIFIC POINT-TO-POINT POLYLINE,Open; no ECT fine-grained entropy history has been derived.,LaTex/FIGURE_REGISTRY.csv:fig:bh_information | LaTex/ECT_preprint.tex:36107 | LaTex/work/preprint/R127_VISUAL_COSMOLOGY_PES_COMPLETION_CANDIDATE_v1/components/native_font_rerender_v1/build_r127_native_font_rerender.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/clipping_remediation_v2/build_clipping_remediation_v2.py;LaTex/scripts/fig_bh_information.py | LaTex/work/preprint/R127_VISUAL_COSMOLOGY_PES_COMPLETION_CANDIDATE_v1/components/font_readability_remediation_v1/assets/r123__global__panels__fig35_b_page_curve_benchmark_r123__reader_scale_r127.pdf | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:ECT_fine_grained_open_region,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
fig:bh_information,page_curve_benchmark,coarse_grained_semiclassical,exact_analytic_dense,external_analytic_benchmark,normalised coarse-grained entropy = sqrt(t / t_evap); LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/clipping_remediation_v1/build_r123_clipping_remediation_v1.py:377-382,800 linearly spaced points over 0 <= t/t_evap <= 1,none,dashed line,RETAIN_CONTINUOUS_TRACE_WITH_ANALYTIC_OWNER,Imported semiclassical benchmark; not an ECT-specific prediction.,LaTex/FIGURE_REGISTRY.csv:fig:bh_information | LaTex/ECT_preprint.tex:36107 | LaTex/work/preprint/R127_VISUAL_COSMOLOGY_PES_COMPLETION_CANDIDATE_v1/components/native_font_rerender_v1/build_r127_native_font_rerender.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/clipping_remediation_v2/build_clipping_remediation_v2.py;LaTex/scripts/fig_bh_information.py | LaTex/work/preprint/R127_VISUAL_COSMOLOGY_PES_COMPLETION_CANDIDATE_v1/components/font_readability_remediation_v1/assets/r123__global__panels__fig35_b_page_curve_benchmark_r123__reader_scale_r127.pdf | R154_PER_SERIES_SEMANTICS_REGISTRY_v1:coarse_grained_semiclassical,DIRECT_SERIES_DECOMPOSITION,PASS_SUPPORTED_NO_UNKNOWN
